Tiempo: 0.0035s, Fecha: 2017-06-28 17:37:08, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 163
Tiempo: 0.0020s, Fecha: 2017-06-28 17:37:11, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 163
Tiempo: 0.0083s, Fecha: 2017-06-28 17:39:13, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0023s, Fecha: 2017-06-28 17:39:30, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0022s, Fecha: 2017-06-28 17:39:30, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0020s, Fecha: 2017-06-28 17:39:30, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0021s, Fecha: 2017-06-28 17:39:30, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0023s, Fecha: 2017-06-28 17:39:31, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0020s, Fecha: 2017-06-28 17:39:31, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0021s, Fecha: 2017-06-28 17:39:33, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0017s, Fecha: 2017-06-28 17:39:46, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0025s, Fecha: 2017-06-28 17:40:05, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0026s, Fecha: 2017-06-28 17:40:39, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0021s, Fecha: 2017-06-28 17:40:59, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0028s, Fecha: 2017-06-28 17:40:59, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0278s, Fecha: 2017-06-28 17:40:59, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0052s, Fecha: 2017-06-28 17:40:59, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0019s, Fecha: 2017-06-28 17:40:59, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0027s, Fecha: 2017-06-28 17:40:59, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0019s, Fecha: 2017-06-28 17:41:03, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.0013s, Fecha: 2017-06-28 17:41:26, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.5913s, Fecha: 2017-06-28 22:41:55, H: localhost, File: /var/www/html/minha/core/functions.php, L: 39
Tiempo: 0.5933s, Fecha: 2017-06-28 22:41:55, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 167
Tiempo: 0.6279s, Fecha: 2017-06-28 22:42:32, H: localhost, File: /var/www/html/minha/core/functions.php, L: 39
Tiempo: 0.6357s, Fecha: 2017-06-28 22:42:32, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.0026s, Fecha: 2017-06-28 17:42:40, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.0053s, Fecha: 2017-06-28 17:42:40, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.0024s, Fecha: 2017-06-28 17:42:40, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.0021s, Fecha: 2017-06-28 17:42:40, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.0019s, Fecha: 2017-06-28 17:42:40, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.0022s, Fecha: 2017-06-28 17:42:40, H: localhost, File: /var/www/html/minha/core/async_payments.php, L: 164
Tiempo: 0.6155s, Fecha: 2017-06-28 22:42:50, H: localhost, File: /var/www/html/minha/core/functions.php, L: 39
